index,study,study_type,gb,boot10,jack10,boot100,jack100,boot1000,jack1000,rep,rep100
1,M16688,phylogenetic,2,100,100,97,95,92,93,0.125,12.5
1,M16688,phylogenetic,16,100,100,100,100,100,100,1,100
1,M16688,phylogenetic,3,100,100,97,95,96,96,0.1875,18.75
1,M16688,phylogenetic,2,80,80,88,80,80,81,0.125,12.5
1,M16688,phylogenetic,4,90,100,93,95,89,94,0.25,25
1,M16688,phylogenetic,2,90,100,85,92,87,86,0.125,12.5
1,M16688,phylogenetic,2,90,90,78,86,79,82,0.125,12.5
1,M16688,phylogenetic,3,70,90,83,91,81,88,0.1875,18.75
1,M16688,phylogenetic,1,80,60,83,75,83,81,0.0625,6.25
1,M16688,phylogenetic,3,90,100,98,99,98,97,0.1875,18.75
1,M16688,phylogenetic,10,100,100,100,100,100,100,0.625,62.5
1,M16688,phylogenetic,1,70,70,65,65,57,58,0.0625,6.25
1,M16688,phylogenetic,1,60,70,67,63,63,64,0.0625,6.25
1,M16688,phylogenetic,3,70,90,96,98,95,95,0.1875,18.75
1,M16688,phylogenetic,2,60,80,74,83,67,79,0.125,12.5
1,M16688,phylogenetic,2,90,90,86,85,85,87,0.125,12.5
1,M16688,phylogenetic,2,70,80,72,76,68,71,0.125,12.5
1,M16688,phylogenetic,12,100,100,100,100,100,100,0.75,75
1,M16688,phylogenetic,1,50,70,54,66,60,66,0.0625,6.25
1,M16688,phylogenetic,5,100,100,98,100,99,99,0.3125,31.25
1,M16688,phylogenetic,2,70,90,68,61,66,71,0.125,12.5
1,M16688,phylogenetic,10,100,100,99,99,98,99,0.625,62.5
1,M16688,phylogenetic,1,60,50,50,58,59,63,0.0625,6.25
1,M16688,phylogenetic,4,80,90,89,96,93,96,0.25,25
1,M16688,phylogenetic,7,100,100,100,100,98,99,0.4375,43.75
1,M16688,phylogenetic,4,90,100,86,94,87,94,0.25,25
1,M16688,phylogenetic,0,100,100,100,100,100,100,0,0
2,M16689,phylogenetic,5,100,100,100,100,100,99,0.5,50
2,M16689,phylogenetic,4,90,100,83,96,83,92,0.4,40
